"Wed, Oct 2",Colorado,Anaheim,6,1,36,29,0,2,2,4
"Sat, Oct 5",Minnesota,Anaheim,3,4,30,33,1,3,2,4
"Sun, Oct 6",Winnipeg,Anaheim,2,3,34,17,0,4,2,3
"Thu, Oct 10",Anaheim,NY Rangers,6,0,37,34,0,6,2,2
"Sun, Oct 13",Anaheim,Ottawa,4,1,56,31,0,6,1,1
"Wed, Oct 16",Anaheim,Calgary,3,2,22,35,0,2,4,4
"Fri, Oct 18",Anaheim,Arizona,3,2,39,32,0,4,6,6
"Sun, Oct 20",Anaheim,Dallas,6,3,47,36,2,5,3,4
"Tue, Oct 22",Toronto,Anaheim,4,2,25,23,0,4,2,3
"Thu, Oct 24",Montreal,Anaheim,4,1,32,25,0,3,4,6
"Fri, Oct 25",Ottawa,Anaheim,1,2,28,27,0,5,3,4
"Sun, Oct 27",Columbus,Anaheim,3,4,32,21,1,5,1,1
"Tue, Oct 29",Philadelphia,Anaheim,2,3,37,28,0,2,2,3
"Thu, Oct 31",Boston,Anaheim,3,2,23,23,0,4,1,2
"Sat, Nov 2",Buffalo,Anaheim,3,6,29,17,0,3,1,2
"Mon, Nov 4",NY Rangers,Anaheim,1,2,25,33,0,2,3,3
"Wed, Nov 6",Anaheim,Arizona,5,2,29,26,2,4,3,4
"Fri, Nov 8",Anaheim,Buffalo,6,2,46,27,2,2,2,2
"Sun, Nov 10",Anaheim,Vancouver,3,1,23,36,0,2,2,2
"Tue, Nov 12",Florida,Anaheim,3,2,34,25,0,3,4,4
"Thu, Nov 14",Tampa Bay,Anaheim,5,1,25,20,0,3,0,2
"Fri, Nov 15",Carolina,Anaheim,3,2,30,23,1,3,2,3
"Mon, Nov 18",Pittsburgh,Anaheim,3,1,28,27,0,1,3,3
"Wed, Nov 20",Anaheim,New Jersey,3,4,25,25,2,5,2,4
"Fri, Nov 22",Anaheim,Tampa Bay,1,0,42,31,0,3,6,6
"Sat, Nov 23",Arizona,Anaheim,2,4,27,44,2,4,4,4
"Tue, Nov 26",Dallas,Anaheim,6,3,31,33,1,2,3,3
"Fri, Nov 29",Anaheim,Calgary,5,2,42,21,1,4,0,0
"Sat, Nov 30",San Jose,Anaheim,4,3,31,35,0,3,5,5
"Tue, Dec 3",Anaheim,Los Angeles,2,3,28,51,1,6,5,5
"Fri, Dec 6",Chicago,Anaheim,2,3,26,25,1,1,2,3
"Sat, Dec 7",St. Louis,Anaheim,2,5,23,28,1,2,5,5
"Mon, Dec 9",Anaheim,NY Islanders,5,2,31,37,1,2,3,4
"Wed, Dec 11",Anaheim,Minnesota,2,1,31,24,0,2,0,1
"Sun, Dec 15",Anaheim,Edmonton,3,2,34,25,0,2,2,2
"Tue, Dec 17",Detroit,Anaheim,2,5,30,18,0,3,2,2
"Fri, Dec 20",New Jersey,Anaheim,2,3,24,21,0,4,2,3
"Sat, Dec 21",NY Islanders,Anaheim,3,5,31,21,0,2,1,1
"Mon, Dec 23",Washington,Anaheim,2,3,29,19,0,4,4,5
"Sat, Dec 28",Anaheim,Arizona,3,2,41,25,0,3,2,2
"Sun, Dec 29",San Jose,Anaheim,3,1,31,23,0,1,2,2
"Tue, Dec 31",Anaheim,San Jose,6,3,38,36,1,3,3,5
"Fri, Jan 3",Anaheim,Edmonton,5,2,37,18,0,8,3,3
"Sun, Jan 5",Anaheim,Vancouver,4,3,49,20,1,3,1,3
"Tue, Jan 7",Anaheim,Boston,5,2,20,32,3,3,3,3
"Thu, Jan 9",Nashville,Anaheim,3,4,28,26,1,4,3,3
"Sat, Jan 11",Arizona,Anaheim,3,5,30,31,1,3,5,6
"Sun, Jan 12",Anaheim,Detroit,1,0,23,22,0,4,5,5
"Wed, Jan 15",Anaheim,Vancouver,9,1,44,32,6,11,2,3
"Fri, Jan 17",Chicago,Anaheim,4,2,21,35,0,2,5,5
"Sat, Jan 18",St. Louis,Anaheim,2,3,21,36,1,3,3,4
"Tue, Jan 21",Anaheim,Winnipeg,2,3,42,21,1,4,2,2
"Thu, Jan 23",Anaheim,Los Angeles,2,1,21,31,1,5,4,4
"Sat, Jan 25",Los Angeles,Anaheim,0,3,21,36,0,3,4,4
"Tue, Jan 28",Anaheim,Minnesota,2,4,33,33,1,3,4,5
"Thu, Jan 30",Anaheim,Philadelphia,5,3,28,30,0,1,3,4
"Sat, Feb 1",Anaheim,Dallas,0,2,26,27,0,3,3,3
"Mon, Feb 3",Anaheim,Columbus,2,4,36,33,0,2,3,5
"Wed, Feb 5",Anaheim,Chicago,0,2,29,25,0,5,2,2
"Sat, Feb 8",Nashville,Anaheim,2,5,24,38,1,3,2,3
"Fri, Feb 28",Anaheim,St. Louis,1,0,19,18,0,3,3,3
